in_channels,out_channels,kernel_size,stride,groups,hw
224,224,3,2,14,7
224,224,1,1,1,7
224,56,1,1,1,7
56,224,1,1,1,7
240,240,3,1,15,14
240,240,3,2,15,14
240,240,1,1,1,14
240,60,1,1,1,14
60,240,1,1,1,14
240,240,3,1,15,7
240,240,3,2,15,7
240,240,1,1,1,7
240,60,1,1,1,7
60,240,1,1,1,7
256,256,3,1,16,14
256,256,3,2,16,14
256,256,1,1,1,14
256,64,1,1,1,14
64,256,1,1,1,14
256,256,3,1,16,7
256,256,3,2,16,7
256,256,1,1,1,7
256,64,1,1,1,7
64,256,1,1,1,7
272,272,3,1,17,14
272,272,3,2,17,14
272,272,1,1,1,14
272,68,1,1,1,14
68,272,1,1,1,14
272,272,3,1,17,7
272,272,3,2,17,7
272,272,1,1,1,7
272,68,1,1,1,7
68,272,1,1,1,7
288,288,3,1,18,14
288,288,3,2,18,14
288,288,1,1,1,14
288,72,1,1,1,14
72,288,1,1,1,14
288,288,3,1,18,7
288,288,3,2,18,7
288,288,1,1,1,7
288,72,1,1,1,7
72,288,1,1,1,7
304,304,3,1,19,14
304,304,3,2,19,14
304,304,1,1,1,14
304,76,1,1,1,14
76,304,1,1,1,14
304,304,3,1,19,7
304,304,3,2,19,7
304,304,1,1,1,7
304,76,1,1,1,7
76,304,1,1,1,7
320,320,3,1,20,14
320,320,3,2,20,14
320,320,1,1,1,14
320,80,1,1,1,14
80,320,1,1,1,14
320,320,3,1,20,7
320,320,3,2,20,7
320,320,1,1,1,7
320,80,1,1,1,7
80,320,1,1,1,7
336,336,3,1,21,14
336,336,3,2,21,14
336,336,1,1,1,14
336,84,1,1,1,14
84,336,1,1,1,14
336,336,3,1,21,7
336,336,3,2,21,7
336,336,1,1,1,7
336,84,1,1,1,7
84,336,1,1,1,7
352,352,3,1,22,14
352,352,3,2,22,14
352,352,1,1,1,14
352,88,1,1,1,14
88,352,1,1,1,14
352,352,3,1,22,7
352,352,3,2,22,7
352,352,1,1,1,7
352,88,1,1,1,7
88,352,1,1,1,7
368,368,3,1,23,14
368,368,3,2,23,14
368,368,1,1,1,14
368,92,1,1,1,14
92,368,1,1,1,14
368,368,3,1,23,7
368,368,3,2,23,7
368,368,1,1,1,7
368,92,1,1,1,7
92,368,1,1,1,7
384,384,3,1,24,14
384,384,3,2,24,14
384,384,1,1,1,14
384,96,1,1,1,14
96,384,1,1,1,14
384,384,3,1,24,7
384,384,3,2,24,7
384,384,1,1,1,7
384,96,1,1,1,7
96,384,1,1,1,7
400,400,3,1,25,14
400,400,3,2,25,14
400,400,1,1,1,14
400,100,1,1,1,14
100,400,1,1,1,14
400,400,3,1,25,7
400,400,3,2,25,7
400,400,1,1,1,7
400,100,1,1,1,7
100,400,1,1,1,7
416,416,3,1,26,14
416,416,3,2,26,14
416,416,1,1,1,14
416,104,1,1,1,14
104,416,1,1,1,14
416,416,3,1,26,7
416,416,3,2,26,7
416,416,1,1,1,7
416,104,1,1,1,7
104,416,1,1,1,7
432,432,3,1,27,14
432,432,3,2,27,14
432,432,1,1,1,14
432,108,1,1,1,14
108,432,1,1,1,14
432,432,3,1,27,7
432,432,3,2,27,7
432,432,1,1,1,7
432,108,1,1,1,7
108,432,1,1,1,7
448,448,3,1,28,14
448,448,3,2,28,14
448,448,1,1,1,14
448,112,1,1,1,14
112,448,1,1,1,14
448,448,3,1,28,7
448,448,3,2,28,7
448,448,1,1,1,7
448,112,1,1,1,7
112,448,1,1,1,7
464,464,3,1,29,14
464,464,3,2,29,14
464,464,1,1,1,14
464,116,1,1,1,14
116,464,1,1,1,14
464,464,3,1,29,7
464,464,3,2,29,7
464,464,1,1,1,7
464,116,1,1,1,7
116,464,1,1,1,7
480,480,3,1,30,14
480,480,3,2,30,14
480,480,1,1,1,14
480,120,1,1,1,14
120,480,1,1,1,14
480,480,3,1,30,7
